,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
133,3.0,1.0,6.0,2.0,2.0,57.5,10.07,11.0,205.0,2.0,4.1,13.8,10.6,28.5,0.338983051,0.822,12.88,5.864,6.164,4.63
134,3.0,1.0,7.0,2.0,3.0,82.0,12.12,34.0,453.0,3.0,6.3,23.2,15.5,45.0,0.186440678,1.321,23.27,5.349,6.97,6.297
135,3.0,1.0,8.0,2.0,4.0,66.5,12.19,25.0,391.0,5.0,5.5,15.3,15.3,36.1,0.015625,0.66,16.08,6.258,5.25,7.475
136,3.0,1.0,9.0,3.0,1.0,92.0,9.84,26.0,343.0,2.0,5.4,15.6,14.1,35.1,0.28358209,0.638,14.9,4.313,9.522,0.936
137,3.0,1.0,10.0,3.0,2.0,62.0,15.73,43.0,942.0,4.0,10.0,28.0,26.3,64.3,-0.125,1.139,18.38,4.624,7.748,7.055
138,3.0,1.0,11.0,3.0,3.0,84.0,14.48,42.0,650.0,4.0,7.4,31.1,22.1,60.6,0.22,1.337,20.49,5.9,6.597,9.448
139,3.0,1.0,12.0,3.0,4.0,110.0,16.67,58.0,802.0,5.0,8.3,33.8,25.4,67.5,0.304347826,0.746,13.91,5.205,5.727,8.835
140,3.0,1.0,13.0,4.0,1.0,81.0,12.47,39.0,632.0,6.0,6.1,21.9,15.5,43.5,0.129032258,1.199,18.56,2.98,15.23,1.73
141,3.0,1.0,14.0,4.0,2.0,88.0,15.56,52.0,927.0,3.0,8.5,26.7,20.2,55.4,0.019230769,1.124,19.45,4.785,5.387,7.842
142,3.0,1.0,15.0,4.0,3.0,88.0,14.48,43.0,834.0,3.0,9.2,24.7,20.5,54.4,1.0,0.984,21.75,4.915,4.176,6.856
143,3.0,1.0,16.0,4.0,4.0,85.0,15.61,41.0,1070.0,2.0,10.1,39.2,31.8,81.1,-0.0625,0.921,14.22,5.343,4.876,7.308
144,3.0,2.0,1.0,1.0,1.0,54.0,12.37,18.0,312.0,4.0,4.9,11.2,11.6,27.7,-0.016949153,1.22,21.7,3.082,7.709,1.921
145,3.0,2.0,2.0,1.0,2.0,58.5,10.67,17.0,282.0,2.0,4.6,12.0,11.2,27.8,-0.2,0.594,17.72,6.07,6.459,5.616
146,3.0,2.0,3.0,1.0,3.0,84.0,16.28,24.0,632.0,5.0,6.8,30.5,27.8,65.1,0.068965517,0.794,17.46,5.959,4.311,9.518
147,3.0,2.0,4.0,1.0,4.0,65.0,12.56,58.0,858.0,5.0,8.6,16.3,14.9,39.8,0.0,1.357,19.7,5.415,7.056,7.724
148,3.0,2.0,5.0,2.0,1.0,52.0,10.39,34.0,309.0,2.0,5.0,11.2,12.2,28.4,-0.105263158,0.73,18.81,5.368,11.41,0.648
149,3.0,2.0,6.0,2.0,2.0,64.0,11.16,20.0,315.0,1.0,4.6,14.6,10.9,30.1,0.447368421,0.683,18.63,7.644,5.796,6.826
150,3.0,2.0,7.0,2.0,3.0,99.0,13.28,65.0,689.0,5.0,8.3,25.2,22.2,55.7,-0.038461538,0.875,17.91,3.937,6.266,10.88
151,3.0,2.0,8.0,2.0,4.0,46.5,8.04,13.0,134.0,1.0,3.6,7.7,6.6,17.9,-0.184210526,1.106,14.38,6.523,5.372,7.838
152,3.0,2.0,9.0,3.0,1.0,61.65183246073298,9.75633507853403,31.774869109947645,581.8031496062993,2.4607329842931938,5.954450261780105,12.649473684210527,11.19,29.789473684210527,0.23562424286315792,0.9331593406593407,19.610494505494504,6.667741758241759,7.944098901098902,6.040153846153846
153,3.0,2.0,10.0,3.0,2.0,97.0,13.91,30.0,521.0,2.0,7.0,31.9,19.8,58.7,0.20754717,0.884,19.61,5.235,7.978,6.691
154,3.0,2.0,11.0,3.0,3.0,51.5,10.21,25.0,430.0,2.0,5.3,13.4,9.6,28.3,-0.066666667,0.732,13.45,4.976,5.305,8.085
155,3.0,2.0,12.0,3.0,4.0,92.0,13.81,47.0,962.0,4.0,8.7,29.8,13.9,52.4,0.1,0.863,14.41,3.024,3.22,7.667
156,3.0,2.0,13.0,4.0,1.0,80.5,10.85,29.0,457.0,6.0,5.8,12.4,10.8,29.0,0.666666667,1.143,20.24,3.035,11.89,1.24
157,3.0,2.0,14.0,4.0,2.0,73.5,10.94,28.0,434.0,2.0,6.2,13.6,12.9,32.7,0.322580645,0.735,16.0,6.304,5.332,8.907
158,3.0,2.0,15.0,4.0,3.0,64.0,13.18,39.0,532.0,4.0,6.6,20.4,14.6,41.6,1.0,0.906,16.11,6.26,7.988,9.157
